Id,Title,Imdb_Rating
1,PlanetEarthII(2016),9.5
2,PlanetEarth(2006),9.4
3,BandofBrothers(2001),9.4
4,BreakingBad(2008),9.4
5,Chernobyl(2019),9.4
6,TheWire(2002),9.3
7,TheLastDance(2020),9.3
8,BluePlanetII(2017),9.3
9,OurPlanet(2019),9.3
10,GameofThrones(2011),9.2
11,Cosmos:ASpacetimeOdyssey(2014),9.2
12,Cosmos(1980),9.2
13,RickandMorty(2013),9.2
14,Avatar:TheLastAirbender(2005),9.2
15,TheSopranos(1999),9.2
16,TheWorldatWar(1973),9.1
17,Life(2009),9.1
18,Sherlock(2010),9.1
19,Haganenorenkinjutsushi(2009),9.1
20,TheVietnamWar(2017),9.1
21,TheTwilightZone(1959),9.0
22,TheBeatlesAnthology(1995),9.0
23,HumanPlanet(2011),9.0
24,Sahsiyet(2018),9.0
25,TheBluePlanet(2001),9.0
26,Batman:TheAnimatedSeries(1992),9.0
27,Firefly(2002),9.0
28,FrozenPlanet(2011),9.0
29,Dekalog(1989),9.0
30,TrueDetective(2014),8.9
31,TheCivilWar(1990),8.9
32,DeathNote:Desunôto(2006),8.9
33,Ramayan(1987),8.9
34,Apocalypse:La2èmeguerremondiale(2009),8.9
35,Fargo(2014),8.9
36,Kaubôibibappu(1998),8.9
37,Africa(2013),8.9
38,LastWeekTonightwithJohnOliver(2014),8.9
39,WhenTheySeeUs(2019),8.9
40,TVFPitchers(2015),8.9
41,OnlyFoolsandHorses....(1981),8.8
42,HunterxHunter(2011),8.8
43,TheOffice(2005),8.8
44,Friends(1994),8.8
45,MontyPython'sFlyingCircus(1969),8.8
46,DasBoot(1985),8.8
47,Seinfeld(1989),8.8
48,GravityFalls(2012),8.8
49,PrideandPrejudice(1995),8.8
50,BlackMirror(2011),8.8
51,TwinPeaks(1990),8.8
52,OvertheGardenWall(2014),8.8
53,OnePunchMan:Wanpanman(2015),8.8
54,NathanforYou(2013),8.8
55,Narcos(2015),8.8
